backbone,transform,a,b,diff,p_raw,p_holm,sig
resnet50,blur,GradCAM,GradCAM++,-0.16,0.0018,0.0073,True
resnet50,blur,GradCAM,EigenCAM,-0.097,0.0284,0.0853,False
resnet50,blur,GradCAM,LayerCAM,-0.167,0.0005,0.0027,True
resnet50,blur,GradCAM++,EigenCAM,0.063,0.667,0.9996,False
resnet50,blur,GradCAM++,LayerCAM,-0.007,0.0,0.0,True
resnet50,blur,EigenCAM,LayerCAM,-0.07,0.4998,0.9996,False
resnet50,rotate,GradCAM,GradCAM++,-0.069,0.0096,0.0274,True
resnet50,rotate,GradCAM,EigenCAM,-0.101,0.0001,0.0004,True
resnet50,rotate,GradCAM,LayerCAM,-0.073,0.0033,0.0132,True
resnet50,rotate,GradCAM++,EigenCAM,-0.032,0.0091,0.0274,True
resnet50,rotate,GradCAM++,LayerCAM,-0.004,0.0,0.0,True
resnet50,rotate,EigenCAM,LayerCAM,0.028,0.0148,0.0274,True
resnet50,brightness,GradCAM,GradCAM++,-0.002,0.0344,0.0547,False
resnet50,brightness,GradCAM,EigenCAM,0.022,0.0002,0.0008,True
resnet50,brightness,GradCAM,LayerCAM,-0.002,0.0274,0.0547,False
resnet50,brightness,GradCAM++,EigenCAM,0.024,0.01,0.04,True
resnet50,brightness,GradCAM++,LayerCAM,-0.0,0.0,0.0,True
resnet50,brightness,EigenCAM,LayerCAM,-0.024,0.0162,0.0485,True
resnet50,noise,GradCAM,GradCAM++,-0.206,0.0,0.0,True
resnet50,noise,GradCAM,EigenCAM,-0.236,0.0,0.0,True
resnet50,noise,GradCAM,LayerCAM,-0.21,0.0,0.0,True
resnet50,noise,GradCAM++,EigenCAM,-0.031,0.0028,0.0056,True
resnet50,noise,GradCAM++,LayerCAM,-0.004,0.0,0.0,True
resnet50,noise,EigenCAM,LayerCAM,0.026,0.0069,0.0069,True
efficientnet_b0,blur,GradCAM,GradCAM++,-0.174,0.0038,0.0192,True
efficientnet_b0,blur,GradCAM,EigenCAM,-0.204,0.0001,0.0006,True
efficientnet_b0,blur,GradCAM,LayerCAM,-0.175,0.004,0.0192,True
efficientnet_b0,blur,GradCAM++,EigenCAM,-0.03,0.0414,0.1241,False
efficientnet_b0,blur,GradCAM++,LayerCAM,-0.001,0.0695,0.1241,False
efficientnet_b0,blur,EigenCAM,LayerCAM,0.03,0.0445,0.1241,False
efficientnet_b0,rotate,GradCAM,GradCAM++,-0.064,0.1326,0.5734,False
efficientnet_b0,rotate,GradCAM,EigenCAM,0.087,0.688,1.0,False
efficientnet_b0,rotate,GradCAM,LayerCAM,-0.065,0.1147,0.5734,False
efficientnet_b0,rotate,GradCAM++,EigenCAM,0.151,0.688,1.0,False
efficientnet_b0,rotate,GradCAM++,LayerCAM,-0.002,0.01,0.06,False
efficientnet_b0,rotate,EigenCAM,LayerCAM,-0.152,0.667,1.0,False
efficientnet_b0,brightness,GradCAM,GradCAM++,-0.004,0.4128,0.6998,False
efficientnet_b0,brightness,GradCAM,EigenCAM,-0.011,0.0001,0.0008,True
efficientnet_b0,brightness,GradCAM,LayerCAM,-0.003,0.3499,0.6998,False
efficientnet_b0,brightness,GradCAM++,EigenCAM,-0.007,0.0006,0.003,True
efficientnet_b0,brightness,GradCAM++,LayerCAM,0.0,0.0033,0.0099,True
efficientnet_b0,brightness,EigenCAM,LayerCAM,0.007,0.0008,0.0033,True
efficientnet_b0,noise,GradCAM,GradCAM++,-0.16,0.0027,0.0144,True
efficientnet_b0,noise,GradCAM,EigenCAM,-0.081,0.0038,0.0144,True
efficientnet_b0,noise,GradCAM,LayerCAM,-0.162,0.0024,0.0144,True
efficientnet_b0,noise,GradCAM++,EigenCAM,0.079,0.3352,0.6704,False
efficientnet_b0,noise,GradCAM++,LayerCAM,-0.002,0.0031,0.0144,True
efficientnet_b0,noise,EigenCAM,LayerCAM,-0.081,0.3885,0.6704,False
