backbone,method,metric,n,mean,ci_lo,ci_hi
efficientnet_b0,EigenCAM,pearson,38,0.8235631986709745,0.7411989011030845,0.8973885896829953
efficientnet_b0,EigenCAM,ssim,38,0.8022085802799885,0.7534743390032533,0.8454959974161628
efficientnet_b0,EigenCAM,iou,38,0.723945560948777,0.665816693955743,0.7805620757543372
efficientnet_b0,GradCAM,pearson,38,0.7713417384300159,0.703981265035581,0.8344039570197913
efficientnet_b0,GradCAM,ssim,38,0.7875570096800741,0.7575932786631986,0.8146232195714045
efficientnet_b0,GradCAM,iou,38,0.6039686394514965,0.5509276434022411,0.6582203611936978
efficientnet_b0,GradCAM++,pearson,38,0.871674701967823,0.8323120595683619,0.9073505495588678
efficientnet_b0,GradCAM++,ssim,38,0.7956672032040689,0.7717864632779657,0.8189418040124223
efficientnet_b0,GradCAM++,iou,38,0.6888691030103778,0.6428505501670566,0.7313525163222012
efficientnet_b0,LayerCAM,pearson,38,0.8728133507025332,0.8313434152429304,0.9076653189091917
efficientnet_b0,LayerCAM,ssim,38,0.7985874334835485,0.7755227141380853,0.8207929327611675
efficientnet_b0,LayerCAM,iou,38,0.6901393202360557,0.6417021578654054,0.7342645218062769
efficientnet_b0,ScoreCAM,pearson,12,0.7610157104864385,0.675363080997532,0.8419707468964553
efficientnet_b0,ScoreCAM,ssim,12,0.7273175241527802,0.6748751045829027,0.7839146790917038
efficientnet_b0,ScoreCAM,iou,12,0.595545450474211,0.5021836648734125,0.6905110109686388
resnet50,EigenCAM,pearson,38,0.8725779612322031,0.8289344786397024,0.9097602419685266
resnet50,EigenCAM,ssim,38,0.7888719167355779,0.7576906625427356,0.8185883868389489
resnet50,EigenCAM,iou,38,0.697419405735435,0.6547809689266363,0.7333113066657494
resnet50,GradCAM,pearson,38,0.7694276273266009,0.7222068758159816,0.8146036633754442
resnet50,GradCAM,ssim,38,0.6729597342275693,0.6439562765032429,0.7008255617130291
resnet50,GradCAM,iou,38,0.5607708681169715,0.5183504333513702,0.6020265856850939
resnet50,GradCAM++,pearson,38,0.8787339291569228,0.8528637031443812,0.8997322373298292
resnet50,GradCAM++,ssim,38,0.8059928721525004,0.7894218822838067,0.8212325119827122
resnet50,GradCAM++,iou,38,0.6321566428959411,0.5917448447548985,0.6706898764050419
resnet50,LayerCAM,pearson,38,0.8824792980216711,0.856944928125163,0.9025363659013526
resnet50,LayerCAM,ssim,38,0.8092513600651319,0.792878722178984,0.8240722146115762
resnet50,LayerCAM,iou,38,0.6374772320956678,0.5993443164811815,0.6739504384214019
